pad_scraped,pad_Neighborhood,pad_Count Listings,pad_Med. Price/mo.,pad_Avg. Price/mo.,pad_Avg. Beds,pad_Med. Price/mo./Bed,pad_Avg. Price/mo./Bed
2013-02-18,Allston,486,2500.0,2739.76,3.06,815.98,894.24
2013-02-18,Back Bay,224,2600.0,2971.65,1.25,2072.6,2368.86
2013-02-18,Bay Village,11,2100.0,2706.82,1.82,1155.0,1488.75
2013-02-18,Beacon Hill,104,2600.0,2809.13,1.75,1485.71,1605.22
2013-02-18,Brighton,322,2225.0,2354.5,2.48,897.81,950.06
2013-02-18,Charlestown,25,2525.0,2618.0,1.28,1972.66,2045.31
2013-02-18,Chinatown,8,2787.5,2884.38,1.62,1715.38,1775.0
2013-02-18,Dorchester,67,1750.0,2001.87,2.42,723.77,827.93
2013-02-18,Downtown,61,2900.0,3102.87,1.36,2131.33,2280.42
2013-02-18,East Boston,29,1600.0,1673.28,2.07,773.33,808.75
2013-02-18,Fenway,392,2325.0,2648.09,1.8,1289.11,1468.25
2013-02-18,Hyde Park,5,1350.0,1535.0,2.0,675.0,767.5
2013-02-18,Jamaica Plain,51,2250.0,2481.86,2.37,948.35,1046.07
2013-02-18,Leather District,8,3400.0,3309.38,1.25,2720.0,2647.5
2013-02-18,Longwood Medical Area,7,2000.0,2167.86,2.0,1000.0,1083.93
2013-02-18,Mattapan,3,1400.0,1608.33,3.33,420.0,482.5
2013-02-18,Mission Hill,167,3400.0,3284.28,3.32,1023.06,988.24
2013-02-18,North End,67,2800.0,2941.04,1.75,1603.42,1684.19
2013-02-18,Roslindale,22,1700.0,1770.45,2.32,733.33,763.73
2013-02-18,Roxbury,61,2375.0,2504.51,2.36,1006.08,1060.94
2013-02-18,South Boston,56,2512.5,2562.5,1.91,1314.95,1341.12
2013-02-18,South Boston Waterfront,12,3050.0,3377.08,1.5,2033.33,2251.39
2013-02-18,South End,124,2800.0,3127.42,1.85,1516.16,1693.45
2013-02-18,West End,16,2587.5,2664.06,1.12,2300.0,2368.06
2013-02-18,West Roxbury,33,1650.0,1871.97,1.76,938.79,1065.09
2013-03-18,Allston,156,1850.0,2160.26,2.28,812.96,949.3
2013-03-18,Back Bay,120,2800.0,3059.58,1.33,2100.0,2294.69
2013-03-18,Bay Village,4,3200.0,3262.5,1.75,1828.57,1864.29
2013-03-18,Beacon Hill,54,2400.0,2651.85,1.22,1963.64,2169.7
2013-03-18,Brighton,182,1900.0,2128.02,2.28,833.25,933.25
2013-03-18,Charlestown,22,2550.0,2702.27,1.45,1753.12,1857.81
2013-03-18,Chinatown,4,1975.0,2112.5,1.0,1975.0,2112.5
2013-03-18,Dorchester,49,1850.0,1930.1,2.33,795.18,829.61
2013-03-18,Downtown,45,3200.0,3290.56,1.4,2285.71,2350.4
2013-03-18,East Boston,33,1600.0,1744.7,2.52,636.14,693.67
2013-03-18,Fenway,133,1850.0,2237.97,1.15,1608.17,1945.42
2013-03-18,Hyde Park,4,1525.0,1562.5,2.25,677.78,694.44
2013-03-18,Jamaica Plain,47,2100.0,2228.19,2.47,850.86,902.8
2013-03-18,Leather District,1,3250.0,3250.0,2.0,1625.0,1625.0
2013-03-18,Longwood Medical Area,1,3400.0,3400.0,2.0,1700.0,1700.0
2013-03-18,Mattapan,6,1575.0,1620.83,3.0,525.0,540.28
2013-03-18,Mission Hill,42,2600.0,2535.71,2.17,1200.0,1170.33
2013-03-18,North End,44,2600.0,2902.27,1.84,1412.35,1576.54
2013-03-18,Roslindale,14,2100.0,2010.71,2.57,816.67,781.94
2013-03-18,Roxbury,39,1900.0,1842.95,1.97,962.34,933.44
2013-03-18,South Boston,35,1900.0,2132.14,1.54,1231.48,1381.94
